"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Deve editar nova categoria com sucesso","","2026-04-30","broken","2026-04-30","","API - editar categoria","",""
"","1","Deve deletar novo produto com sucesso","","2026-04-30","broken","2026-04-30","","API - deletar produto","",""
"","1","Deve adicionar nova categoria com sucesso","","2026-04-30","broken","2026-04-30","","API - Adicionar categoria","",""
"","1","Deve adicionar novo produto com sucesso","","2026-04-30","broken","2026-04-30","","API - Adicionar produto","",""
"","1","Deve deletar nova categoria com sucesso","","2026-04-30","broken","2026-04-30","","API - deletar categoria","",""
"","1","Deve editar novo product com sucesso","","2026-04-30","broken","2026-04-30","","API - editar produto","",""
